"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 33, 71
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\package-lock.json", "JSON", 0, 0, 0, 18564, 0, 0, 0, 1, 18565
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\package.json", "JSON", 0, 0, 0, 51, 0, 0, 0, 1, 52
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\App.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 19, 92
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\commission\CommissionLogin.jsx", "JavaScript JSX", 0, 89, 0, 0, 0, 0, 20, 19, 128
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\common_pages\ChangePassword.jsx", "JavaScript JSX", 0, 112, 0, 0, 0, 0, 6, 14, 132
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\common_pages\Home.jsx", "JavaScript JSX", 0, 154, 0, 0, 0, 0, 11, 20, 185
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\common_pages\ListCompanies.jsx", "JavaScript JSX", 0, 64, 0, 0, 0, 0, 10, 15, 89
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\common_pages\LoginOptions.jsx", "JavaScript JSX", 0, 33, 0, 0, 0, 0, 0, 4, 37
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\common_pages\NoPage.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\common_pages\ShowAnnouncementDetails.jsx", "JavaScript JSX", 0, 109, 0, 0, 0, 0, 0, 19, 128
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\common_pages\UploadImage.jsx", "JavaScript JSX", 0, 70, 0, 0, 0, 0, 0, 19, 89
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\common_pages\ViewCompanyProfile.jsx", "JavaScript JSX", 0, 184, 0, 0, 0, 0, 1, 40, 225
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\common_pages\ViewStudentProfile.jsx", "JavaScript JSX", 0, 183, 0, 0, 0, 0, 0, 13, 196
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\company\ApplyList.jsx", "JavaScript JSX", 0, 109, 0, 0, 0, 0, 0, 25, 134
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\company\CompanyEditProfile.jsx", "JavaScript JSX", 0, 193, 0, 0, 0, 0, 8, 41, 242
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\company\CompanyLogin.jsx", "JavaScript JSX", 0, 109, 0, 0, 0, 0, 0, 21, 130
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\company\CompanyProfile.jsx", "JavaScript JSX", 0, 159, 0, 0, 0, 0, 1, 37, 197
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\company\ShareAnnouncemet.jsx", "JavaScript JSX", 0, 185, 0, 0, 0, 0, 1, 24, 210
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\components\FormInput.jsx", "JavaScript JSX", 0, 18, 0, 0, 0, 0, 5, 2, 25
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\components\Navbar.jsx", "JavaScript JSX", 0, 70, 0, 0, 0, 0, 0, 6, 76
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\components\Sidebar.jsx", "JavaScript JSX", 0, 188, 0, 0, 0, 0, 6, 39, 233
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\forms\KabulFormu.jsx", "JavaScript JSX", 0, 63, 0, 0, 0, 0, 0, 16, 79
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\forms\ListForms.jsx", "JavaScript JSX", 0, 47, 0, 0, 0, 0, 0, 15, 62
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\index.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\index.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 9, 24
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\lecturer\LecturerLogin.jsx", "JavaScript JSX", 0, 89, 0, 0, 0, 0, 20, 18, 127
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\lecturer\ListStudentGroups.jsx", "JavaScript JSX", 0, 146, 0, 0, 0, 0, 0, 15, 161
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\store\auth.jsx", "JavaScript JSX", 0, 23, 0, 0, 0, 0, 0, 6, 29
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\store\companies.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 0, 0, 6, 32
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\store\index.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\student\ApplyToCompany.jsx", "JavaScript JSX", 0, 109, 0, 0, 0, 0, 4, 30, 143
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\student\FavoriteAnnouncements.jsx", "JavaScript JSX", 0, 111, 0, 0, 0, 0, 2, 21, 134
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\student\StudentEditProfile.jsx", "JavaScript JSX", 0, 384, 0, 0, 0, 0, 43, 53, 480
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\student\StudentLogin.jsx", "JavaScript JSX", 0, 109, 0, 0, 0, 0, 0, 19, 128
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\student\StudentProfile.jsx", "JavaScript JSX", 0, 176, 0, 0, 0, 0, 7, 42, 225
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\src\student\WeeklyReport.jsx", "JavaScript JSX", 0, 134, 0, 0, 0, 0, 1, 20, 155
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\IsyeriProjeKodlar\frontend\tailwind.config.js", "JavaScript", 12, 0, 0, 0, 0, 0, 1, 3, 16
"Total", "-", 100, 3477, 4, 18640, 38, 20, 170, 692, 23141
